Horodateur;Quel est votre âge ?;Quel est votre sexe ?;Quelle est votre profession actuelle ?;À quelle fréquence utilisez-vous des technologies basées sur l'IA, telles que des assistants vocaux ou des recommandations de produits  ?  ;Comment évalueriez-vous votre connaissance générale de l'IA ?;Comment décririez-vous votre opinion générale sur l'IA ? ;Dans quelle mesure pensez-vous que l'IA a actuellement un impact sur votre vie quotidienne ?;Sélectionnez les domaines dans lesquels vous pensez que l'IA a le plus d'impact : ;Dans quelle mesure avez-vous confiance dans les systèmes basés sur l'IA ?;Quels facteurs influencent le plus votre confiance ou méfiance envers l'IA ?;Pensez-vous qu'il est nécessaire de réglementer l'utilisation de l'IA ?;Quelles sont vos attentes en matière d'éthique dans le développement et l'utilisation de l'IA ?
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Positive;Élevé;Travail, Éducation;Neutre;Transparence des algorithmes;D'accord;Élevées
2/25/2024 22:02:29;25-34 ans;Homme;Travailleur indépendant;Quotidiennement;Moyenne;Positive;Élevé;Travail, Éducation;Peu confiant;Expérience positive passée avec l'IA;D'accord;Modérées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Hebdomadairement;Bonne;Positive;Très élevé;Travail, Santé, Éducation;Confiant;Explications claires sur les décisions de l'IA;Fortement d'accord;Modérées
2/25/2024 22:02:29;18-24 ans;Homme;Étudiant;Quotidiennement;Moyenne;Neutre;Élevé;Travail, Éducation;Peu confiant;Autre;Neutre;Élevées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Positive;Élevé;Travail, Santé, Éducation;Confiant;Transparence des algorithmes, Explications claires sur les décisions de l'IA, Expérience positive passée avec l'IA;D'accord;Élevées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Mensuellement;Bonne;Positive;Élevé;Travail, Divertissement;Confiant;Explications claires sur les décisions de l'IA;D'accord;Élevées
Horodateur;Quel est votre âge ?;Quel est votre sexe ?;Quelle est votre profession actuelle ?;Hebdomadairement;Moyenne;Positive;Élevé;Travail, Santé, Éducation;Neutre;Explications claires sur les décisions de l'IA;D'accord;Élevées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Rarement;Moyenne;Neutre;Très élevé;Éducation;Peu confiant;Transparence des algorithmes, Explications claires sur les décisions de l'IA;Fortement d'accord;Modérées
2/25/2024 22:02:29;25-34 ans;Homme;Travailleur indépendant;Quotidiennement;Très bonne;Positive;Modéré;Travail, Santé, Éducation;Confiant;Explications claires sur les décisions de l'IA;Fortement d'accord;Élevées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Hebdomadairement;Bonne;Positive;Élevé;Travail;Confiant;Expérience positive passée avec l'IA;D'accord;Élevées
2/25/2024 22:02:29;18-24 ans;Homme;Étudiant;Quotidiennement;Moyenne;Positive;Modéré;Travail;Confiant;Explications claires sur les décisions de l'IA;D'accord;Élevées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Neutre;Élevé;Travail, Éducation, Divertissement, Autre;Neutre;Connaissance approfondie de l'IA;D'accord;Modérées
2/25/2024 22:02:29;18-24 ans;Femme;Étudiant;Jamais;Aucune;Très négative;Très faible;Autre;Pas du tout confiant;Autre;Pas du tout d'accord;Très faibles
2/25/2024 23:00:07;18-24 ans;Homme;Étudiant;Hebdomadairement;Bonne;Positive;Élevé;Travail, Santé;Confiant;Transparence des algorithmes, Explications claires sur les décisions de l'IA, Expérience positive passée avec l'IA;Fortement d'accord;Très élevées
2/25/2024 23:01:42;18-24 ans;Homme;Étudiant;Quotidiennement;Moyenne;Neutre;Modéré;Éducation, Divertissement;Peu confiant;Explications claires sur les décisions de l'IA;D'accord;Modérées
2/25/2024 23:04:06;18-24 ans;Femme;Employé de bureau;Quotidiennement;Moyenne;Neutre;Élevé;Santé;Neutre;Explications claires sur les décisions de l'IA, Expérience positive passée avec l'IA;D'accord;Élevées
2/25/2024 23:06:31;18-24 ans;Femme;Chômeur;Mensuellement;Bonne;Positive;Très élevé;Santé, Éducation;Confiant;Expérience positive passée avec l'IA;D'accord;Modérées
2/25/2024 23:06:35;18-24 ans;Femme;Étudiant;Rarement;Moyenne;Positive;Modéré;Travail, Santé, Éducation;Neutre;Connaissance approfondie de l'IA;D'accord;Modérées
2/25/2024 23:21:11;18-24 ans;Homme;Étudiant;Quotidiennement;Bonne;Très positive;Élevé;Travail, Éducation;Confiant;Explications claires sur les décisions de l'IA;Fortement d'accord;Très élevées
2/25/2024 23:38:47;18-24 ans;Homme;Étudiant;Quotidiennement;Bonne;Très positive;Très élevé;Travail, Éducation;Confiant;Transparence des algorithmes, Explications claires sur les décisions de l'IA, Expérience positive passée avec l'IA, Connaissance approfondie de l'IA;D'accord;Modérées
2/25/2024 23:38:57;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Négative;Très élevé;Santé, Divertissement;Peu confiant;Transparence des algorithmes;Fortement d'accord;Très élevées
2/25/2024 23:43:25;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Positive;Élevé;Travail;Peu confiant;Connaissance approfondie de l'IA, Autre;Fortement d'accord;Modérées
2/25/2024 23:44:08;18-24 ans;Homme;Étudiant;Quotidiennement;Très bonne;Très positive;Très élevé;Éducation, Autre;Peu confiant;Expérience positive passée avec l'IA;Fortement d'accord;Très élevées
2/25/2024 23:44:20;18-24 ans;Homme;Travailleur indépendant;Quotidiennement;Bonne;Positive;Élevé;Travail, Santé, Éducation, Divertissement, Autre;Pas du tout confiant;Expérience positive passée avec l'IA, Connaissance approfondie de l'IA;Fortement d'accord;Élevées
2/25/2024 23:44:51;18-24 ans;Femme;Étudiant;Hebdomadairement;Très bonne;Neutre;Élevé;Travail;Très confiant;Transparence des algorithmes;Fortement d'accord;Très élevées
2/25/2024 23:45:37;18-24 ans;Homme;Étudiant;Hebdomadairement;Très bonne;Très positive;Très élevé;Travail, Santé, Éducation;Neutre;Transparence des algorithmes, Expérience positive passée avec l'IA;D'accord;Très élevées
2/25/2024 23:46:53;18-24 ans;Homme;Étudiant;Hebdomadairement;Bonne;Positive;Élevé;Travail, Éducation;Confiant;Transparence des algorithmes, Explications claires sur les décisions de l'IA, Expérience positive passée avec l'IA, Connaissance approfondie de l'IA;D'accord;Élevées
2/25/2024 23:53:31;25-34 ans;Homme;Employé de bureau;Rarement;Moyenne;Positive;Élevé;Travail;Confiant;Expérience positive passée avec l'IA;Fortement d'accord;Modérées
2/25/2024 23:55:19;18-24 ans;Homme;Étudiant;Hebdomadairement;Bonne;Neutre;Élevé;Travail, Éducation;Peu confiant;Transparence des algorithmes;D'accord;Modérées
2/25/2024 23:55:47;18-24 ans;Femme;Étudiant;Hebdomadairement;Très bonne;Neutre;Modéré;Travail;Confiant;Expérience positive passée avec l'IA;D'accord;Très élevées
2/25/2024 23:56:40;18-24 ans;Homme;Étudiant;Quotidiennement;Bonne;Très positive;Élevé;Travail, Éducation;Confiant;Autre;D'accord;Élevées
2/26/2024 0:02:12;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Très positive;Très élevé;Travail, Santé, Éducation;Confiant;Autre;Fortement d'accord;Élevées
2/26/2024 0:08:14;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Positive;Élevé;Travail;Confiant;Transparence des algorithmes;D'accord;Élevées
2/26/2024 0:22:52;18-24 ans;Homme;Étudiant;Mensuellement;Moyenne;Positive;Modéré;Travail, Éducation, Divertissement;Confiant;Transparence des algorithmes;Neutre;Élevées
2/26/2024 0:24:03;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Positive;Très élevé;Travail, Santé, Éducation;Confiant;Expérience positive passée avec l'IA;Fortement d'accord;Élevées
2/26/2024 0:54:13;18-24 ans;Femme;Étudiant;Hebdomadairement;Bonne;Très positive;Modéré;Travail, Santé;Confiant;Transparence des algorithmes;D'accord;Élevées
2/26/2024 0:57:04;18-24 ans;Homme;Étudiant;Hebdomadairement;Bonne;Neutre;Modéré;Travail, Santé, Éducation, Divertissement, Autre;Neutre;Explications claires sur les décisions de l'IA;Fortement d'accord;Modérées
2/26/2024 1:14:27;25-34 ans;Homme;Travailleur indépendant;Hebdomadairement;Moyenne;Positive;Modéré;Travail, Santé, Éducation, Divertissement;Neutre;Expérience positive passée avec l'IA;Fortement d'accord;Élevées
2/26/2024 6:43:46;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Positive;Élevé;Travail, Santé, Éducation, Divertissement;Peu confiant;Explications claires sur les décisions de l'IA;D'accord;Élevées
2/26/2024 6:44:23;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Positive;Modéré;Travail, Éducation;Confiant;Expérience positive passée avec l'IA;D'accord;Élevées
2/26/2024 6:52:48;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Positive;Très élevé;Travail, Santé, Éducation;Peu confiant;Explications claires sur les décisions de l'IA;Pas d'accord;Modérées
2/26/2024 6:53:28;18-24 ans;Femme;Étudiant;Rarement;Bonne;Positive;Élevé;Travail, Éducation;Neutre;Explications claires sur les décisions de l'IA;D'accord;Élevées
2/26/2024 7:02:05;25-34 ans;Homme;Employé de bureau;Mensuellement;Faible;Très positive;Très élevé;Travail, Éducation;Neutre;Transparence des algorithmes;Fortement d'accord;Modérées
2/26/2024 7:07:46;18-24 ans;Femme;Travailleur indépendant;Rarement;Bonne;Positive;Modéré;Éducation;Confiant;Expérience positive passée avec l'IA;D'accord;Modérées
2/26/2024 7:42:38;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Positive;Élevé;Éducation;Neutre;Explications claires sur les décisions de l'IA;Fortement d'accord;Très élevées
2/26/2024 7:59:47;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Très positive;Très élevé;Travail, Santé, Éducation;Confiant;Expérience positive passée avec l'IA;Pas d'accord;Élevées
2/26/2024 8:03:35;18-24 ans;Femme;Étudiant;Hebdomadairement;Bonne;Positive;Très élevé;Éducation;Confiant;Transparence des algorithmes;Fortement d'accord;Élevées
2/26/2024 8:07:41;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Positive;Modéré;Santé, Éducation;Neutre;Explications claires sur les décisions de l'IA;Fortement d'accord;Élevées
2/26/2024 8:40:17;25-34 ans;Femme;Étudiant;Hebdomadairement;Très bonne;Neutre;Modéré;Travail, Santé, Éducation, Divertissement, Autre;Confiant;Explications claires sur les décisions de l'IA;D'accord;Modérées
2/26/2024 9:14:35;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Neutre;Élevé;Travail, Éducation;Neutre;Transparence des algorithmes;Neutre;Modérées
2/26/2024 9:24:00;18-24 ans;Femme;Étudiant;Rarement;Bonne;Positive;Élevé;Éducation;Neutre;Expérience positive passée avec l'IA;D'accord;Élevées
2/26/2024 9:52:24;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Positive;Modéré;Travail, Éducation;Peu confiant;Transparence des algorithmes;Pas d'accord;Faibles
2/26/2024 9:58:42;18-24 ans;Homme;Étudiant;Mensuellement;Moyenne;Neutre;Modéré;Éducation;Neutre;Autre;Neutre;Modérées
2/26/2024 10:36:39;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Positive;Très élevé;Travail, Santé, Éducation, Divertissement, Autre;Confiant;Transparence des algorithmes, Explications claires sur les décisions de l'IA;Fortement d'accord;Élevées
2/26/2024 12:35:39;18-24 ans;Homme;Étudiant;Quotidiennement;Bonne;Neutre;Modéré;Travail, Éducation, Autre;Neutre;Transparence des algorithmes;D'accord;Élevées
2/26/2024 12:42:41;18-24 ans;Homme;Étudiant;Hebdomadairement;Moyenne;Positive;Modéré;Travail, Éducation, Divertissement;Neutre;Explications claires sur les décisions de l'IA;D'accord;Modérées
2/26/2024 13:06:37;18-24 ans;Femme;Étudiant;Rarement;Moyenne;Neutre;Modéré;Travail, Santé, Éducation;Confiant;Expérience positive passée avec l'IA;Neutre;Modérées
2/26/2024 13:08:11;18-24 ans;Femme;Étudiant;Mensuellement;Moyenne;Positive;Très élevé;Travail, Santé, Éducation;Confiant;Explications claires sur les décisions de l'IA;D'accord;Élevées
2/26/2024 13:11:02;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Positive;Élevé;Travail, Santé, Éducation, Divertissement;Confiant;Transparence des algorithmes, Explications claires sur les décisions de l'IA, Expérience positive passée avec l'IA, Connaissance approfondie de l'IA;D'accord;Élevées
2/26/2024 13:14:35;18-24 ans;Homme;Étudiant;Quotidiennement;Moyenne;Positive;Élevé;Travail, Santé, Éducation, Divertissement, Autre;Peu confiant;Autre;Fortement d'accord;Modérées
2/26/2024 13:15:44;18-24 ans;Femme;Travailleur indépendant;Quotidiennement;Moyenne;Très positive;Très élevé;Travail;Très confiant;Connaissance approfondie de l'IA;Fortement d'accord;Élevées
2/26/2024 13:26:17;18-24 ans;Homme;Étudiant;Mensuellement;Moyenne;Positive;Élevé;Travail;Confiant;Expérience positive passée avec l'IA;Fortement d'accord;Élevées
2/26/2024 13:34:49;18-24 ans;Femme;Étudiant;Jamais;Faible;Neutre;Très faible;Santé;Peu confiant;Autre;Neutre;Modérées
2/26/2024 13:37:18;18-24 ans;Femme;Étudiant;Hebdomadairement;Très bonne;Positive;Modéré;Santé, Éducation;Confiant;Transparence des algorithmes;Fortement d'accord;Très élevées
2/26/2024 13:38:49;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Positive;Modéré;Travail;Neutre;Explications claires sur les décisions de l'IA;Fortement d'accord;Élevées
2/26/2024 13:41:17;18-24 ans;Femme;Étudiant;Mensuellement;Faible;Positive;Modéré;Travail, Éducation;Peu confiant;Transparence des algorithmes, Connaissance approfondie de l'IA;D'accord;Élevées
2/26/2024 13:42:27;18-24 ans;Femme;Étudiant;Rarement;Moyenne;Positive;Élevé;Travail, Santé, Éducation;Neutre;Expérience positive passée avec l'IA;D'accord;Élevées
2/26/2024 14:13:10;18-24 ans;Femme;Étudiant;Mensuellement;Moyenne;Positive;Faible;Travail, Santé, Éducation;Confiant;Explications claires sur les décisions de l'IA;Fortement d'accord;Élevées
2/26/2024 14:36:12;18-24 ans;Femme;Étudiant;Rarement;Moyenne;Neutre;Modéré;Divertissement;Confiant;Expérience positive passée avec l'IA;D'accord;Modérées
2/26/2024 14:40:44;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Neutre;Élevé;Travail, Santé, Éducation, Divertissement, Autre;Peu confiant;Explications claires sur les décisions de l'IA;D'accord;Très élevées
2/26/2024 14:52:00;18-24 ans;Homme;Autre;Mensuellement;Bonne;Positive;Élevé;Éducation;Neutre;Expérience positive passée avec l'IA;D'accord;Modérées
2/26/2024 14:57:33;25-34 ans;Femme;Employé de bureau;Quotidiennement;Bonne;Neutre;Élevé;Travail, Éducation;Confiant;Explications claires sur les décisions de l'IA;Fortement d'accord;Élevées
2/26/2024 15:06:46;25-34 ans;Homme;Travailleur indépendant;Rarement;Moyenne;Très positive;Faible;Travail;Confiant;Explications claires sur les décisions de l'IA;D'accord;Élevées
2/26/2024 15:31:59;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Neutre;Élevé;Travail, Éducation;Peu confiant;Explications claires sur les décisions de l'IA, Connaissance approfondie de l'IA;Fortement d'accord;Élevées
2/26/2024 15:46:19;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Positive;Très élevé;Travail, Éducation, Divertissement;Confiant;Explications claires sur les décisions de l'IA, Expérience positive passée avec l'IA;D'accord;Très élevées
2/26/2024 15:52:24;18-24 ans;Homme;Étudiant;Jamais;Moyenne;Très positive;Très élevé;Travail, Santé, Éducation, Divertissement;Peu confiant;Connaissance approfondie de l'IA;D'accord;Très élevées
2/26/2024 16:36:55;18-24 ans;Femme;Étudiant;Mensuellement;Bonne;Très positive;Très élevé;Travail, Santé, Éducation;Très confiant;Explications claires sur les décisions de l'IA;Fortement d'accord;Très élevées
2/26/2024 16:37:46;18-24 ans;Femme;Étudiant;Hebdomadairement;Bonne;Positive;Élevé;Travail, Éducation;Confiant;Connaissance approfondie de l'IA;Neutre;Élevées
2/26/2024 16:41:08;25-34 ans;Femme;Employé de bureau;Quotidiennement;Bonne;Positive;Modéré;Travail, Éducation;Neutre;Explications claires sur les décisions de l'IA;D'accord;Modérées
2/26/2024 16:43:08;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Neutre;Élevé;Travail, Santé, Éducation;Peu confiant;Explications claires sur les décisions de l'IA;D'accord;Modérées
2/26/2024 16:46:03;18-24 ans;Homme;Étudiant;Mensuellement;Bonne;Positive;Élevé;Travail;Confiant;Explications claires sur les décisions de l'IA;D'accord;Élevées
2/26/2024 16:49:21;18-24 ans;Femme;Étudiant;Hebdomadairement;Bonne;Positive;Élevé;Travail, Santé, Éducation, Divertissement, Autre;Confiant;Expérience positive passée avec l'IA;Fortement d'accord;Modérées
2/26/2024 16:57:26;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Positive;Élevé;Travail, Éducation;Confiant;Explications claires sur les décisions de l'IA;D'accord;Élevées
2/26/2024 17:05:02;18-24 ans;Homme;Étudiant;Quotidiennement;Bonne;Positive;Élevé;Travail, Santé, Éducation, Divertissement, Autre;Confiant;Explications claires sur les décisions de l'IA;Fortement d'accord;Élevées
2/26/2024 17:28:40;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Négative;Modéré;Travail, Éducation, Divertissement, Autre;Pas du tout confiant;Autre;Fortement d'accord;Modérées
2/26/2024 17:28:59;18-24 ans;Femme;Étudiant;Mensuellement;Moyenne;Neutre;Modéré;Travail, Santé, Éducation;Peu confiant;Connaissance approfondie de l'IA;D'accord;Élevées
2/26/2024 17:31:51;25-34 ans;Femme;Travailleur indépendant;Rarement;Aucune;Très négative;Faible;Divertissement;Neutre;Expérience positive passée avec l'IA;Pas d'accord;Faibles
2/26/2024 17:31:52;18-24 ans;Femme;Étudiant;Rarement;Faible;Positive;Élevé;Divertissement;Neutre;Connaissance approfondie de l'IA;Neutre;Modérées
2/26/2024 17:32:00;18-24 ans;Homme;Étudiant;Mensuellement;Moyenne;Positive;Élevé;Travail, Santé, Éducation;Peu confiant;Transparence des algorithmes, Expérience positive passée avec l'IA;Neutre;Modérées
2/26/2024 17:44:27;18-24 ans;Homme;Étudiant;Rarement;Très bonne;Neutre;Modéré;Éducation, Divertissement;Neutre;Transparence des algorithmes, Explications claires sur les décisions de l'IA;Pas d'accord;Faibles
2/26/2024 17:44:33;25-34 ans;Homme;Chômeur;Quotidiennement;Très bonne;Positive;Élevé;Éducation;Confiant;Connaissance approfondie de l'IA;D'accord;Élevées
2/26/2024 18:10:23;18-24 ans;Femme;Étudiant;Rarement;Aucune;Neutre;Élevé;Santé, Éducation;Neutre;Autre;D'accord;Modérées
2/26/2024 18:21:11;18-24 ans;Femme;Étudiant;Hebdomadairement;Bonne;Positive;Élevé;Travail, Éducation;Neutre;Expérience positive passée avec l'IA;Fortement d'accord;Modérées
2/26/2024 18:47:54;18-24 ans;Femme;Étudiant;Quotidiennement;Faible;Positive;Modéré;Travail, Éducation;Neutre;Explications claires sur les décisions de l'IA;Fortement d'accord;Élevées
2/26/2024 18:49:15;18-24 ans;Femme;Étudiant;Mensuellement;Bonne;Neutre;Faible;Santé;Peu confiant;Expérience positive passée avec l'IA;Neutre;Modérées
2/26/2024 18:52:00;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Positive;Élevé;Travail, Éducation;Neutre;Transparence des algorithmes, Explications claires sur les décisions de l'IA, Expérience positive passée avec l'IA, Connaissance approfondie de l'IA;Fortement d'accord;Très élevées
2/26/2024 19:20:20;18-24 ans;Homme;Étudiant;Mensuellement;Bonne;Positive;Très élevé;Travail, Santé, Éducation, Divertissement;Confiant;Explications claires sur les décisions de l'IA;D'accord;Élevées
2/26/2024 19:21:11;18-24 ans;Homme;Retraité;Jamais;Très bonne;Neutre;Très élevé;Travail;Très confiant;Transparence des algorithmes;D'accord;Très élevées
2/26/2024 19:29:11;18-24 ans;Homme;Étudiant;Mensuellement;Moyenne;Positive;Faible;Travail, Santé;Neutre;Explications claires sur les décisions de l'IA;D'accord;Très élevées
2/26/2024 19:53:59;18-24 ans;Femme;Étudiant;Mensuellement;Très bonne;Très positive;Très élevé;Éducation;Confiant;Expérience positive passée avec l'IA;D'accord;Très élevées
2/26/2024 20:09:11;18-24 ans;Femme;Étudiant;Mensuellement;Moyenne;Positive;Élevé;Travail, Éducation;Très confiant;Transparence des algorithmes, Explications claires sur les décisions de l'IA, Expérience positive passée avec l'IA;Neutre;Élevées
2/26/2024 20:45:28;18-24 ans;Femme;Étudiant;Quotidiennement;Moyenne;Neutre;Élevé;Travail, Santé, Éducation;Neutre;Explications claires sur les décisions de l'IA;D'accord;Élevées
2/26/2024 20:47:41;18-24 ans;Femme;Étudiant;Rarement;Très bonne;Très positive;Très élevé;Travail, Santé;Peu confiant;Autre;Pas du tout d'accord;Très faibles
2/26/2024 20:47:53;18-24 ans;Femme;Étudiant;Rarement;Faible;Négative;Modéré;Travail, Éducation;Neutre;Connaissance approfondie de l'IA;D'accord;Modérées
2/26/2024 21:53:22;18-24 ans;Homme;Étudiant;Quotidiennement;Bonne;Positive;Très élevé;Travail, Santé, Éducation;Confiant;Transparence des algorithmes, Explications claires sur les décisions de l'IA, Expérience positive passée avec l'IA, Connaissance approfondie de l'IA;Fortement d'accord;Très élevées
2/26/2024 22:08:49;18-24 ans;Homme;Étudiant;Quotidiennement;Moyenne;Positive;Modéré;Travail, Éducation;Neutre;Expérience positive passée avec l'IA;Neutre;Élevées
2/27/2024 7:06:53;25-34 ans;Femme;Employé de bureau;Mensuellement;Moyenne;Positive;Faible;Éducation;Neutre;Explications claires sur les décisions de l'IA;D'accord;Faibles
2/27/2024 7:10:49;18-24 ans;Femme;Étudiant;Rarement;Moyenne;Neutre;Modéré;Travail, Éducation, Divertissement;Peu confiant;Autre;Pas du tout d'accord;Faibles
2/27/2024 7:18:01;18-24 ans;Homme;Étudiant;Rarement;Moyenne;Neutre;Modéré;Travail, Santé, Éducation;Confiant;Expérience positive passée avec l'IA;D'accord;Élevées
2/27/2024 10:27:58;25-34 ans;Femme;Travailleur indépendant;Quotidiennement;Bonne;Positive;Très élevé;Travail, Santé, Éducation, Divertissement;Neutre;Transparence des algorithmes, Connaissance approfondie de l'IA;D'accord;Élevées
2/27/2024 11:04:06;18-24 ans;Femme;Étudiant;Rarement;Moyenne;Positive;Modéré;Travail, Éducation;Confiant;Connaissance approfondie de l'IA;D'accord;Modérées
2/27/2024 11:05:42;18-24 ans;Femme;Étudiant;Quotidiennement;Bonne;Positive;Élevé;Travail, Éducation, Divertissement;Neutre;Expérience positive passée avec l'IA;Pas d'accord;Très élevées
2/27/2024 12:57:14;18-24 ans;Femme;Étudiant;Rarement;Bonne;Positive;Modéré;Travail, Éducation, Autre;Confiant;Explications claires sur les décisions de l'IA;D'accord;Élevées
